,start_time_seconds,end_time_seconds,source,emission_rate
0,0.0,1799.0,['Wellhead.West'],[1.6523388000000003]
1,3601.0,5399.0,"['Separator.West', 'Separator.East', 'Tank']","[0.5543496, 0.5359284, 0.3388644]"
2,5399.0,5400.0,"['Separator.East', 'Separator.West']","[0.5359284, 0.5543496]"
3,7201.0,7202.0,"['Wellhead.East', 'Wellhead.West', 'Separator.West']","[0.5530644000000001, 0.4798080000000001, 0.5642028]"
4,7202.0,10800.0,"['Separator.West', 'Separator.East', 'Wellhead.West', 'Wellhead.East']","[0.5642028, 0.5449248000000001, 0.4798080000000001, 0.5530644000000001]"
5,10800.0,10801.0,['Wellhead.West'],[0.4798080000000001]
6,12602.0,19801.0,"['Separator.East', 'Separator.West', 'Wellhead.East']","[0.7655508000000001, 0.5791968000000001, 0.5770548000000001]"
7,19801.0,19802.0,['Separator.East'],[0.7655508000000001]
8,27004.0,28803.0,"['Wellhead.West', 'Tank']","[1.6613352, 0.3452904]"
9,28803.0,28804.0,['Tank'],[0.3452904]
10,30606.0,32404.0,"['Separator.West', 'Separator.East', 'Tank']","[0.5672016, 0.5470668000000001, 0.8752212]"
11,32404.0,32405.0,"['Separator.East', 'Separator.West']","[0.5470668000000001, 0.5672016]"
12,34207.0,37806.0,"['Separator.West', 'Separator.East', 'Wellhead.West']","[0.571914, 0.5496372, 0.4746671999999999]"
13,37806.0,37807.0,['Wellhead.West'],[0.4746671999999999]
14,39608.0,39609.0,"['Separator.West', 'Wellhead.East']","[0.5839092, 0.582624]"
15,39609.0,46807.0,"['Wellhead.East', 'Separator.West', 'Separator.East']","[0.582624, 0.5839092, 0.7728336]"
16,46807.0,46808.0,['Separator.West'],[0.5839092]
17,50410.0,50411.0,"['Separator.East', 'Tank']","[1.1853828000000002, 0.8786484000000001]"
18,50411.0,57609.0,"['Separator.East', 'Wellhead.West', 'Tank']","[1.1853828000000002, 2.0935908, 0.8786484000000001]"
19,57609.0,58240.0,['Separator.East'],[1.1853828000000002]
20,61212.0,72011.0,"['Wellhead.East', 'Separator.West', 'Wellhead.West']","[1.3374648, 1.9954872000000008, 2.0576052]"
21,72011.0,72012.0,['Wellhead.East'],[1.3374648]
22,74306.0,74339.0,['Tank'],[0.4828068]
23,74340.0,74363.0,['Tank'],[0.2587536]
24,74364.0,74385.0,['Tank'],[0.1966356]
25,74386.0,74450.0,['Tank'],[0.4660992000000001]
26,74451.0,74496.0,['Tank'],[0.2630376]
27,74497.0,74573.0,['Tank'],[0.1589364]
28,74574.0,74720.0,['Tank'],[0.1152396]
29,75185.0,75278.0,['Tank'],[0.1272348]
30,75279.0,75326.0,['Tank'],[0.2154852]
31,75327.0,75376.0,['Tank'],[0.3611412]
32,75377.0,75405.0,['Tank'],[0.2917404]
33,75406.0,75463.0,['Tank'],[0.0484092]
34,75464.0,75494.0,['Tank'],[0.094248]
35,75495.0,75519.0,['Tank'],[0.1507968]
36,75520.0,75627.0,['Tank'],[0.5269320000000002]
37,75628.0,75797.0,['Tank'],[0.089964]
38,79216.0,84605.0,"['Separator.East', 'Wellhead.West', 'Separator.West', 'Wellhead.East']","[1.3627404, 2.643228, 1.5628032, 0.7998228000000002]"
39,84605.0,86415.0,"['Separator.East', 'Wellhead.East', 'Wellhead.West', 'Separator.West']","[1.37088, 0.8079624000000001, 2.6693604, 1.5795108]"
40,90019.0,93618.0,"['Wellhead.West', 'Separator.West']","[1.1622492, 1.1134115999999998]"
41,97222.0,97223.0,['Separator.West'],[0.5492088000000002]
42,97223.0,100822.0,"['Separator.East', 'Separator.West']","[0.5286456, 0.5492088000000002]"
43,104426.0,108024.0,"['Separator.West', 'Wellhead.West', 'Separator.East', 'Wellhead.East']","[0.5577768, 0.4678128, 0.5367852, 0.5462100000000001]"
44,108024.0,108025.0,"['Wellhead.West', 'Separator.East', 'Separator.West']","[0.4678128, 0.5367852, 0.5577768]"
45,113430.0,115229.0,['Wellhead.West'],[1.6437708]
46,117032.0,117033.0,"['Separator.East', 'Separator.West']","[0.6078996000000001, 0.6361740000000001]"
47,117033.0,118831.0,"['Separator.West', 'Tank', 'Separator.East']","[0.6361740000000001, 1.3169016, 0.6078996000000001]"
48,118831.0,118832.0,['Separator.East'],[0.6078996000000001]
49,120635.0,124234.0,"['Separator.East', 'Wellhead.West', 'Separator.West']","[0.5466384000000001, 0.4656708, 0.5680584000000001]"
50,126038.0,133237.0,"['Separator.East', 'Separator.West', 'Wellhead.East']","[0.7651224, 0.5783400000000001, 0.5766264]"
51,136840.0,144039.0,"['Wellhead.West', 'Tank', 'Separator.East']","[2.062746, 1.9355112, 0.7522704]"
52,147642.0,147643.0,"['Separator.West', 'Wellhead.West']","[1.9907748, 2.0400408]"
53,147643.0,158442.0,"['Wellhead.West', 'Separator.West', 'Wellhead.East']","[2.0400408, 1.9907748, 1.332324]"
54,165644.0,165645.0,"['Wellhead.West', 'Separator.West']","[2.6462268000000004, 1.5469524]"
55,165645.0,171005.0,"['Separator.West', 'Wellhead.West', 'Separator.East', 'Wellhead.East']","[1.5469524, 2.6462268000000004, 1.3541724000000002, 0.7976808000000001]"
56,171006.0,172843.0,"['Separator.West', 'Wellhead.West', 'Separator.East', 'Wellhead.East']","[1.5885072, 2.6723592000000003, 1.4180039999999998, 0.826812]"
57,172843.0,172844.0,"['Separator.West', 'Separator.East']","[1.5885072, 1.4180039999999998]"
58,176447.0,180045.0,"['Separator.West', 'Wellhead.West']","[1.122408, 1.1571084000000005]"
59,180045.0,180046.0,['Separator.West'],[1.122408]
60,183648.0,187247.0,"['Separator.East', 'Tank', 'Separator.West']","[0.6001884, 1.3203288, 0.6276060000000001]"
61,187247.0,187248.0,"['Tank', 'Separator.West']","[1.3203288, 0.6276060000000001]"
62,190850.0,190851.0,"['Separator.East', 'Separator.West', 'Wellhead.West']","[0.5355000000000001, 0.5560632000000001, 0.4678128]"
63,190851.0,194450.0,"['Separator.East', 'Separator.West', 'Wellhead.East', 'Wellhead.West']","[0.5355000000000001, 0.5560632000000001, 0.5432112, 0.4678128]"
64,199855.0,201653.0,['Wellhead.West'],[1.6369164]
65,203457.0,205256.0,"['Separator.East', 'Separator.West']","[0.5329296, 0.5526360000000001]"
66,207060.0,207061.0,"['Separator.West', 'Wellhead.West']","[0.5552064000000001, 0.4682412000000001]"
67,207061.0,210659.0,"['Wellhead.West', 'Separator.West', 'Separator.East']","[0.4682412000000001, 0.5552064000000001, 0.5342148000000001]"
68,212462.0,212463.0,['Separator.East'],[0.7531272]
69,212463.0,219662.0,"['Separator.West', 'Separator.East', 'Wellhead.East']","[0.5667732000000001, 0.7531272, 0.5650596]"
70,223265.0,230464.0,"['Separator.East', 'Wellhead.West', 'Tank']","[1.1648196000000004, 2.0644596, 3.3226704]"
71,234066.0,234067.0,"['Wellhead.East', 'Separator.West']","[1.3267548, 1.9774944]"
72,234067.0,244866.0,"['Wellhead.West', 'Wellhead.East', 'Separator.West']","[2.0408976, 1.3267548, 1.9774944]"
73,252000.0,257405.0,"['Separator.West', 'Separator.East', 'Wellhead.West', 'Wellhead.East']","[1.5396696, 1.368738, 2.6457984000000003, 0.7933968]"
74,257405.0,259199.0,"['Wellhead.East', 'Wellhead.West', 'Separator.East', 'Separator.West']","[0.8126748, 2.6736444, 1.4128632, 1.5760836]"
75,262800.0,266399.0,"['Wellhead.West', 'Separator.West']","[1.1648196000000004, 1.122408]"
76,270002.0,273600.0,"['Separator.West', 'Tank', 'Separator.East']","[0.6318900000000001, 1.3297536000000003, 0.604044]"
77,273600.0,273601.0,"['Tank', 'Separator.West']","[1.3297536000000003, 0.6318900000000001]"
78,277203.0,280802.0,"['Wellhead.East', 'Separator.East', 'Wellhead.West', 'Separator.West']","[0.5496372, 0.5436396, 0.4703832000000001, 0.5616324]"
79,286204.0,288003.0,['Wellhead.West'],[1.6519104000000002]
80,289805.0,291604.0,"['Tank', 'Separator.West', 'Separator.East']","[1.3246128, 0.6430284, 0.6173244000000001]"
81,291604.0,291605.0,['Separator.West'],[0.6430284]
82,293406.0,293407.0,"['Separator.East', 'Separator.West']","[0.5509224, 0.5710572]"
83,293407.0,297005.0,"['Separator.West', 'Separator.East', 'Wellhead.West']","[0.5710572, 0.5509224, 0.4639572]"
84,297005.0,297006.0,"['Separator.East', 'Wellhead.West']","[0.5509224, 0.4639572]"
85,298808.0,298809.0,"['Separator.East', 'Wellhead.East']","[0.7728336, 0.5796252000000001]"
86,298809.0,306008.0,"['Separator.West', 'Wellhead.East', 'Separator.East']","[0.5813388000000002, 0.5796252000000001, 0.7728336]"
87,309610.0,309611.0,['Wellhead.West'],[2.0781684]
88,309611.0,316809.0,"['Separator.East', 'Wellhead.West', 'Tank']","[1.1840976, 2.0781684, 3.345804]"
89,316809.0,316810.0,['Separator.East'],[1.1840976]
90,320413.0,322856.0,"['Wellhead.East', 'Wellhead.West', 'Separator.West']","[1.3417488, 2.052036, 1.9976292]"
91,322856.0,324479.0,"['Wellhead.East', nan, 'Wellhead.West', 'Separator.West']","[1.3417488, -0.2596103999999999, 2.052036, 1.9976292]"
92,324479.0,327684.0,"[nan, 'Tank', 'Wellhead.East', 'Tank', 'Separator.West', 'Wellhead.West', nan]","[-0.2596103999999999, 0.0098532, 1.3417488, 0.0848232, 1.9976292, 2.052036, -9.926884800000002]"
93,327684.0,328118.0,"['Wellhead.East', 'Tank', nan, 'Wellhead.West', 'Separator.West', 'Tank']","[1.3417488, 0.0098532, -9.926884800000002, 2.052036, 1.9976292, 0.0848232]"
94,328118.0,331212.0,"['Separator.West', 'Wellhead.West', nan, 'Wellhead.East']","[1.9976292, 2.052036, -9.926884800000002, 1.3417488]"
95,331212.0,338415.0,[nan],[-9.926884800000002]
96,338415.0,343801.0,"['Separator.West', nan, 'Wellhead.East', 'Separator.East', 'Wellhead.West']","[1.576512, -9.926884800000002, 0.8113896, 1.394442, 2.6672184000000003]"
97,343801.0,345615.0,"['Separator.East', nan, 'Separator.West', 'Wellhead.West', 'Wellhead.East']","[1.4274288, -9.3258396, 1.5996456000000006, 2.6924940000000004, 0.8340948]"
98,345615.0,352818.0,[nan],[-9.3258396]
99,352818.0,360017.0,"['Separator.West', 'Separator.East', nan, 'Wellhead.East']","[0.5766264, 0.3054492, -9.3258396, 0.3204432]"
100,360017.0,367221.0,[nan],[-9.3258396]
101,367221.0,370820.0,"[nan, 'Wellhead.West']","[-9.3258396, 1.1695320000000002]"
102,370820.0,378022.0,[nan],[-9.3258396]
103,378022.0,399622.0,"['Wellhead.West', nan, 'Separator.West']","[0.5629176, -9.3258396, 0.6477408]"
104,399622.0,410425.0,[nan],[-9.3258396]
105,410425.0,410426.0,"['Tank', nan, 'Wellhead.East', 'Separator.East']","[0.3919860000000001, -9.3258396, 0.3187296, 0.3037356]"
106,410426.0,430198.0,"['Tank', 'Separator.West', nan, 'Wellhead.West', 'Wellhead.East', 'Separator.East']","[0.3919860000000001, 0.3392928, -9.3258396, 0.2287656, 0.3187296, 0.3037356]"
107,430199.0,432024.0,"['Wellhead.West', 'Wellhead.East', 'Tank', 'Separator.East', nan, 'Separator.West']","[0.2274803999999999, 0.3251556, 0.3979836, 0.3118752000000001, -9.6912648, 0.3440052]"
108,432024.0,442828.0,[nan],[-9.6912648]
109,442828.0,446427.0,"['Separator.West', nan]","[0.334152, -9.6912648]"
110,446427.0,457230.0,[nan],[-9.6912648]
111,457230.0,460829.0,"['Wellhead.West', nan, 'Separator.West']","[0.5680584000000001, -9.6912648, 0.5714855999999999]"
112,460829.0,475233.0,[nan],[-9.6912648]
113,475233.0,475234.0,"['Separator.West', 'Wellhead.West', nan, 'Wellhead.East', 'Separator.East']","[0.3311532, 0.565488, -9.6912648, 0.1957788, 0.3050208000000001]"
114,475234.0,479618.0,"['Separator.West', 'Wellhead.West', nan, 'Separator.East', 'Tank', 'Wellhead.East']","[0.3311532, 0.565488, -9.6912648, 0.3050208000000001, 0.4254012, 0.1957788]"
115,479618.0,504032.0,"['Wellhead.East', 'Tank', 'Separator.East', 'Wellhead.West', 'Separator.West']","[0.1957788, 0.4254012, 0.3050208000000001, 0.565488, 0.3311532]"
116,504032.0,504033.0,"['Wellhead.West', 'Wellhead.East']","[0.565488, 0.1957788]"
117,516605.0,518434.0,[nan],[0.9030672]
118,518434.0,529233.0,"['Separator.West', nan, 'Wellhead.West']","[0.5727708, 0.9030672, 1.1763864000000002]"
119,529233.0,543637.0,[nan],[0.9030672]
120,543637.0,554436.0,"['Separator.West', nan]","[1.6352028000000003, 0.9030672]"
121,554436.0,568840.0,[nan],[0.9030672]
122,568840.0,576038.0,"['Wellhead.West', 'Separator.East', nan, 'Separator.West']","[1.640772, 0.7552692000000001, 0.9030672, 0.3294396]"
123,576038.0,576039.0,"[nan, 'Separator.West', 'Separator.East']","[0.9030672, 0.3294396, 0.7552692000000001]"
124,576039.0,583243.0,[nan],[0.9030672]
125,583243.0,583244.0,"['Tank', 'Separator.East', 'Wellhead.East', nan]","[1.902096, 0.2818872, 0.6036156000000001, 0.9030672]"
126,583244.0,590442.0,"['Separator.East', nan, 'Wellhead.East', 'Tank', 'Separator.West', 'Wellhead.West']","[0.2818872, 0.9030672, 0.6036156000000001, 1.902096, 1.9616436000000004, 2.6470836]"
127,590442.0,590443.0,"[nan, 'Wellhead.West', 'Tank', 'Wellhead.East']","[0.9030672, 2.6470836, 1.902096, 0.6036156000000001]"
128,590443.0,594760.0,[nan],[0.9030672]
129,594760.0,594770.0,"[nan, 'Separator.West']","[0.9030672, 0.1640772]"
130,594770.0,594778.0,[nan],[0.9030672]
131,594778.0,594847.0,"['Wellhead.West', nan]","[0.265608, 0.9030672]"
132,594847.0,594925.0,[nan],[0.9030672]
133,594925.0,595365.0,"['Wellhead.West', nan]","[0.46053, 0.9030672]"
134,595365.0,595366.0,"['Wellhead.West', 'Wellhead.West', nan]","[4.389814800000001, 0.46053, 0.9030672]"
135,595366.0,595501.0,"[nan, 'Wellhead.West']","[0.9030672, 4.389814800000001]"
136,595501.0,595502.0,[nan],[0.9030672]
137,595502.0,595520.0,"[nan, 'Wellhead.West']","[0.9030672, 4.5020556]"
138,595520.0,595521.0,[nan],[0.9030672]
139,595521.0,595550.0,"['Wellhead.West', nan]","[2.6783568000000004, 0.9030672]"
140,595550.0,595564.0,[nan],[0.9030672]
141,595564.0,595809.0,"[nan, 'Wellhead.West']","[0.9030672, 0.6297480000000001]"
142,595809.0,595810.0,[nan],[0.9030672]
143,595810.0,595862.0,"[nan, 'Wellhead.West']","[0.9030672, 0.923202]"
144,595862.0,597102.0,[nan],[0.9030672]
145,597102.0,597103.0,"[nan, 'Wellhead.West']","[0.9030672, 3.324384]"
146,597103.0,597104.0,"['Wellhead.West', 'Wellhead.East', nan]","[3.324384, 2.2049748000000005, 0.9030672]"
147,597104.0,597105.0,"['Separator.East', 'Wellhead.West', nan, 'Wellhead.East']","[2.5845372, 3.324384, 0.9030672, 2.2049748000000005]"
148,597105.0,597322.0,"['Tank', 'Separator.West', 'Wellhead.East', 'Wellhead.West', 'Separator.East', nan]","[3.3556572, 2.9456784, 2.2049748000000005, 3.324384, 2.5845372, 0.9030672]"
149,597322.0,597324.0,"['Separator.West', 'Wellhead.East', 'Separator.East', nan, 'Tank']","[2.9456784, 2.2049748000000005, 2.5845372, 0.9030672, 3.3556572]"
150,597324.0,597379.0,"['Separator.West', 'Separator.East', nan, 'Tank']","[2.9456784, 2.5845372, 0.9030672, 3.3556572]"
151,597379.0,597395.0,"['Separator.East', nan, 'Tank']","[2.5845372, 0.9030672, 3.3556572]"
152,597395.0,597473.0,"['Tank', 'Separator.East', nan, 'Separator.West']","[3.3556572, 2.5845372, 0.9030672, 2.9700972]"
153,597473.0,597523.0,"['Separator.East', 'Tank', nan]","[2.5845372, 3.3556572, 0.9030672]"
154,597523.0,597559.0,"['Separator.East', 'Separator.West', nan, 'Tank']","[2.5845372, 2.98809, 0.9030672, 3.3556572]"
155,597559.0,597580.0,"[nan, 'Tank']","[0.9030672, 3.3556572]"
156,597580.0,597669.0,[nan],[0.9030672]
157,597669.0,598198.0,"['Separator.West', nan]","[0.5080824, 0.9030672]"
158,598198.0,598199.0,[nan],[0.9030672]
159,598199.0,598234.0,"[nan, 'Separator.West']","[0.9030672, 0.5102244]"
160,598234.0,598257.0,[nan],[0.9030672]
161,598257.0,598321.0,"['Separator.West', nan]","[0.6451704, 0.9030672]"
162,598321.0,598322.0,[nan],[0.9030672]
163,598322.0,598369.0,"['Separator.West', nan]","[0.9523332, 0.9030672]"
164,598369.0,598400.0,[nan],[0.9030672]
165,598400.0,598421.0,"['Separator.West', nan]","[1.7941392000000005, 0.9030672]"
166,598421.0,598422.0,[nan],[0.9030672]
167,598422.0,598465.0,"[nan, 'Separator.West']","[0.9030672, 1.8048492000000005]"
168,598465.0,598515.0,[nan],[0.9030672]
169,598515.0,598551.0,"[nan, 'Wellhead.East']","[0.9030672, 3.0322152]"
170,598551.0,598555.0,[nan],[0.9030672]
171,598555.0,598605.0,"[nan, 'Wellhead.East']","[0.9030672, 1.891386]"
172,598605.0,598621.0,[nan],[0.9030672]
173,598621.0,598728.0,"['Wellhead.East', nan]","[0.9197748, 0.9030672]"
174,598728.0,598729.0,[nan],[0.9030672]
175,598729.0,598747.0,"['Wellhead.East', nan]","[0.9214884000000002, 0.9030672]"
176,598747.0,598757.0,[nan],[0.9030672]
177,598757.0,598825.0,"['Wellhead.East', nan]","[0.4798080000000001, 0.9030672]"
178,598825.0,598826.0,[nan],[0.9030672]
179,598826.0,598922.0,"[nan, 'Wellhead.East']","[0.9030672, 0.4815216]"
180,598922.0,598950.0,[nan],[0.9030672]
181,598950.0,598979.0,"[nan, 'Separator.East']","[0.9030672, 3.0467808000000005]"
182,598979.0,598980.0,[nan],[0.9030672]
183,598980.0,599003.0,"[nan, 'Separator.East']","[0.9030672, 2.8818468000000004]"
184,599003.0,599013.0,[nan],[0.9030672]
185,599013.0,599047.0,"[nan, 'Separator.East']","[0.9030672, 0.8045352000000001]"
186,599047.0,599048.0,[nan],[0.9030672]
187,599048.0,599076.0,"[nan, 'Separator.East']","[0.9030672, 0.8315244]"
188,599076.0,599077.0,[nan],[0.9030672]
189,599077.0,599231.0,"[nan, 'Separator.East']","[0.9030672, 0.8662247999999999]"
190,599231.0,599239.0,[nan],[0.9030672]
191,599239.0,599362.0,"['Separator.East', nan]","[0.4515336, 0.9030672]"
192,599362.0,599366.0,[nan],[0.9030672]
193,599366.0,599396.0,"['Separator.East', nan]","[0.8760780000000001, 0.9030672]"
194,599396.0,599399.0,[nan],[0.9030672]
195,603005.0,613803.0,['Tank'],[1.4171472]
196,621005.0,624604.0,"['Separator.West', 'Separator.East']","[0.8422344, 0.6657336]"
197,628206.0,646205.0,"['Separator.West', 'Wellhead.East', 'Separator.East']","[0.5059404000000001, 0.5736276, 0.5706288]"
198,653407.0,657006.0,['Wellhead.West'],[2.6762148000000003]
199,664208.0,671407.0,['Tank'],[2.8745640000000003]
200,682210.0,689401.0,"['Wellhead.West', 'Separator.West', 'Wellhead.East', 'Separator.East']","[0.6717312000000001, 0.4588164, 0.3247272, 0.4198320000000001]"
201,689401.0,696608.0,"['Separator.East', 'Wellhead.East', 'Separator.West', 'Wellhead.West']","[0.4373964000000001, 0.3324384000000001, 0.4768092, 0.670446]"
202,696608.0,696609.0,"['Separator.West', 'Separator.East', 'Wellhead.West']","[0.4768092, 0.4373964000000001, 0.670446]"
203,700212.0,707410.0,"['Separator.West', 'Wellhead.East']","[0.4810932, 0.5616324]"
204,707410.0,707411.0,['Separator.West'],[0.4810932]
205,711014.0,721813.0,"['Separator.East', 'Separator.West']","[0.5693436000000001, 0.5911920000000002]"
206,729015.0,729016.0,['Tank'],[1.4184324]
207,729016.0,754214.0,"['Tank', 'Separator.West']","[1.4184324, 1.8224136000000004]"
208,768618.0,775800.0,['Tank'],[1.4004396]
209,775800.0,779417.0,['Tank'],[1.4150052]
210,801020.0,804619.0,['Separator.West'],[0.8422344]
211,815421.0,829820.0,['Tank'],[1.4248583999999995]
212,837023.0,851421.0,"['Tank', 'Separator.West']","[2.1514248, 1.794996]"
213,851421.0,851422.0,['Tank'],[2.1514248]
214,862224.0,862225.0,['Separator.West'],[0.3701376]
215,862225.0,869423.0,"['Wellhead.East', 'Wellhead.West', 'Separator.West']","[0.3392928, 0.6588792000000001, 0.3701376]"
216,869423.0,869424.0,['Wellhead.East'],[0.3392928]
217,873027.0,887425.0,['Separator.West'],[0.6880104]
218,891028.0,891029.0,['Separator.East'],[0.7784028000000001]
219,891029.0,916227.0,"['Wellhead.East', 'Separator.East']","[0.8585136, 0.7784028000000001]"
220,923429.0,934229.0,['Separator.West'],[1.84212]
221,948631.0,970230.0,"['Separator.West', 'Separator.East', 'Wellhead.West']","[0.6027588, 0.3782772, 0.6588792000000001]"
222,981032.0,991831.0,['Separator.West'],[0.873936]
223,1006234.0,1020633.0,['Separator.East'],[1.9453644]
224,1035036.0,1042235.0,['Separator.East'],[1.1699604]
